Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
539,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",OMNeT++ openflow wireless
540,1.0,0.2768,"file, set, parameter, number, module, trace, generate, script, random, position",Omnet Tkenv run config for multiple parameters: executing only the first value of parameter
541,6.0,0.5625,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu","I am getting the following error using ns2 help to debug. cant read ""udp1"": no such variable while executing ""$cbr1 attach-agent $udp1"""
542,5.0,0.2768,"omnet, inet, make, project, build, link, error, library, fail, command",Add full path for imported project in Qt Creator
543,4.0,0.2513,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Is it possible to run the Omnet++ with a command in Matlab?
544,7.0,0.2344,"implement, find, add, function, route, code, class, type, program, call",liboppcmdenvd.dll is missing
545,5.0,0.2382,"omnet, inet, make, project, build, link, error, library, fail, command","To run Omnet++ from command prompt, how to solve liboppcmdenvd.dll is missing error?"
546,7.0,0.1927,"implement, find, add, function, route, code, class, type, program, call",OMNeT++: Error in module during network setup: Class not found
547,1.0,0.2083,"file, set, parameter, number, module, trace, generate, script, random, position",Getting the location of two different modules
548,7.0,0.3533,"implement, find, add, function, route, code, class, type, program, call","In Omnet++, in mingwenv.cmd error as Error: NED type `wireless1.Wireless1 could not be fully resolved, due to a missing base type or interface"
549,4.0,0.2764,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Multiple Simulation Runs (OMnet++)
550,1.0,0.3482,"file, set, parameter, number, module, trace, generate, script, random, position",Veins file cant find other Veins file - no such file or directory
551,1.0,0.3523,"file, set, parameter, number, module, trace, generate, script, random, position",how to initialize a subrange of array of modules
552,1.0,0.2344,"file, set, parameter, number, module, trace, generate, script, random, position",How to integrate BatteryModule with any host of Anna Forster in WSN?
553,4.0,0.2083,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Results Analysis in OMNET++
554,5.0,0.2344,"omnet, inet, make, project, build, link, error, library, fail, command",Update RoutingTable of IPv6 in INET Omnet++
555,2.0,0.2211,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",how to make that node still moving while transferring data?
556,0.0,0.2212,"packet, message, send, node, receive, application, multiple, datum, specific, server",Omnet++/INET framework: how to set and use UDP simulated applications
557,0.0,0.2083,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to edit the source code of Omnet++?
558,6.0,0.2344,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu","tkenv gui works, then doesnt under windows 7"
559,5.0,0.2724,"omnet, inet, make, project, build, link, error, library, fail, command",Omnet/Inet : how to access class/submodules to get variables values
560,4.0,0.2614,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Is it possible to update and use updated .ini and .ned files when Omnet++ simulation is running?
561,7.0,0.2118,"implement, find, add, function, route, code, class, type, program, call",Omnet++/INET: parameter added to cMessage becomes 0 when received
562,1.0,0.2344,"file, set, parameter, number, module, trace, generate, script, random, position",generating .cc and .h from .msg in omnet++
563,5.0,0.3323,"omnet, inet, make, project, build, link, error, library, fail, command",Omnet++/Inet: how to adjust routing files when adding components to a .NED scenario
564,5.0,0.4028,"omnet, inet, make, project, build, link, error, library, fail, command",How to use lemon graph library on Omnet++ projects?
565,5.0,0.3403,"omnet, inet, make, project, build, link, error, library, fail, command",Omnet++/Inet: 2 lisp routers keep on boucing each other messages without being forwarded
566,3.0,0.2214,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",What is the approach of message suppression implemented in veins/omnet simulation demo scenarios?
567,3.0,0.2212,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",ASSERT condition for driving vehicles in Veins failed
568,5.0,0.3422,"omnet, inet, make, project, build, link, error, library, fail, command",Duplicate symbol error adding new library
569,5.0,0.3542,"omnet, inet, make, project, build, link, error, library, fail, command",How to use Boost C++ library with Omnet++
570,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",ns2 DSR modifications
571,0.0,0.3137,"packet, message, send, node, receive, application, multiple, datum, specific, server",Do I need to define the complete UDP stack for communication?
572,0.0,0.325,"packet, message, send, node, receive, application, multiple, datum, specific, server",Simulate a real UDP application and measure traffic load on OMNeT++
573,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server","Error: Undefined reference to _imp___ZTV ""className"""
574,0.0,0.2766,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to extend different Modules of Inet with custom messages?
575,4.0,0.2542,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Maximum transmission range vs maximum interference distance
576,3.0,0.2083,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Is there any GeoCast or broadcast Protocol implemented in veins demo example?
577,1.0,0.2344,"file, set, parameter, number, module, trace, generate, script, random, position",Error in submodule connection in OMNeT++
578,7.0,0.4803,"implement, find, add, function, route, code, class, type, program, call",Omnet++: How to implement OSPF routing over a StandardHost based node?
579,6.0,0.2396,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",How to install TCP application on INET host (omnetpp)?
580,7.0,0.3071,"implement, find, add, function, route, code, class, type, program, call",Coding for a congestion control algorithm
581,2.0,0.3875,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",What are the use of ID and Kind of a wireless sensor node in Omnet?
582,0.0,0.2614,"packet, message, send, node, receive, application, multiple, datum, specific, server",Conflicts between different types of packets in OMNeT++
583,7.0,0.2344,"implement, find, add, function, route, code, class, type, program, call",ISO C++ forbids declaration of ‘multiset’ with no type
584,2.0,0.1806,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",How to simulate realistic TCP traffic in OMNeT++?
585,2.0,0.2875,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",How to Add a New Protocol in Network Simulator 2
586,4.0,0.2083,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",OMNET++ IDE Vectors Plot Error
587,2.0,0.3653,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",OMNet++ replay Attack: 200 nodes
588,4.0,0.2344,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Run Omnet++ Simulation with cmd or java
589,0.0,0.3229,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to send message only to a specific cars in veins?
590,5.0,0.2715,"omnet, inet, make, project, build, link, error, library, fail, command",HIL prototype using OMNeT++/INET external interfaces – error
591,1.0,0.3422,"file, set, parameter, number, module, trace, generate, script, random, position",Omnetpp .ned file default value of parameter
592,1.0,0.1875,"file, set, parameter, number, module, trace, generate, script, random, position",Ad hoc simulation in ns2 using antnet algorithm
593,5.0,0.4432,"omnet, inet, make, project, build, link, error, library, fail, command",NS-3 with DCE: How to get input at runtime working with my binaries
594,4.0,0.2875,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",end to end delay in Veins
595,7.0,0.3319,"implement, find, add, function, route, code, class, type, program, call",How to implement DSR and DSDV Code in NS-2
596,6.0,0.2083,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Omnetpp Config for router in ned
597,2.0,0.3579,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",What are the general properties of a common wireless sensor node while designing a MAC protocol?
598,7.0,0.2764,"implement, find, add, function, route, code, class, type, program, call",Handlemessage(cMessage *msg) is not properly scheduled
599,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",Omnet++ :std::bad_alloc
600,0.0,0.2083,"packet, message, send, node, receive, application, multiple, datum, specific, server",Analyzing TCP Traffic
601,4.0,0.2208,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",sendDirect () method not working
602,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",mac802.11p or decider8011p error
603,4.0,0.2083,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Omnet + MySQL not working
604,4.0,0.397,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",how to measure channel busy time in veins?
605,6.0,0.4038,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu","where is the best place to declare global variables, and checking something periodically?"
606,2.0,0.2542,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Is there is a way to get the associated MNs to an access point?
607,7.0,0.2303,"implement, find, add, function, route, code, class, type, program, call",control battery behavior in omnet++/inet
608,2.0,0.2344,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",omnetpp.ini File Explanation
609,0.0,0.2207,"packet, message, send, node, receive, application, multiple, datum, specific, server","Why the obtained rxPower () is always Zero, every where?"
610,5.0,0.3244,"omnet, inet, make, project, build, link, error, library, fail, command",(omnet++)Explaining how the SNR value is calculate in INET and imagining the noise?
611,3.0,0.2614,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Error while installing sumo-0.21.0 for Veins 3.0
612,3.0,0.2083,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Implementing DSR protocol in Veins Omnet++
613,7.0,0.2207,"implement, find, add, function, route, code, class, type, program, call",How can I change the cache type of DSR using NS2
614,0.0,0.2875,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to receive a message through TCPBasicClientApp in omnet++?
615,6.0,0.2764,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Why nam.exe doesnt work in the cygwin without startX?
616,2.0,0.2542,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Implenting wireless mobility and new protocol in NS2
617,0.0,0.2412,"packet, message, send, node, receive, application, multiple, datum, specific, server",putting two curves in a graph in cOutVector
618,2.0,0.2297,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Error : Finished standard no-slot{} default handler [ns-2]
619,3.0,0.2319,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",how to use different maps for mobility models?
620,2.0,0.2205,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",RTT Variation in NS3
621,4.0,0.2614,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Running TCP and UDP in parallel using OMNeT++
622,2.0,0.3523,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Network Simulation for MANET Addressing scheme
623,1.0,0.4605,"file, set, parameter, number, module, trace, generate, script, random, position",how to enumerate array indices as odd and even numbers in parameters part of omnet.ini
624,2.0,0.2824,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Cannot create executable
625,0.0,0.1875,"packet, message, send, node, receive, application, multiple, datum, specific, server",How does send() work in omnet++
626,5.0,0.375,"omnet, inet, make, project, build, link, error, library, fail, command",<!> Error during startup: Cannot load library in OMNET++ project while using sqlite3
627,6.0,0.3208,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",How to install Omnet++ 4.6 on windows
628,0.0,0.3229,"packet, message, send, node, receive, application, multiple, datum, specific, server",send packet on specific gate omnet++
629,5.0,0.2212,"omnet, inet, make, project, build, link, error, library, fail, command",Boost library files not recognized although included in PATH
630,0.0,0.2614,"packet, message, send, node, receive, application, multiple, datum, specific, server",Allow a RSU receive messages in Veins
631,1.0,0.1875,"file, set, parameter, number, module, trace, generate, script, random, position",Ns3 programming Video trace
632,2.0,0.1757,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor","C++ program crashes with no error messages when it executes con = driver->connect(host, user, pass);"
633,1.0,0.4348,"file, set, parameter, number, module, trace, generate, script, random, position","ns3, c++, expression with side effects will be evaluated despite being used as an operand to typeid"
634,5.0,0.2025,"omnet, inet, make, project, build, link, error, library, fail, command",I want to use UDPBasicApp in Veins based on Omnet but I can not implement
635,3.0,0.3927,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed","Using a Traffic Light as a RSU in Omnet++, Veins and SUMO"
636,5.0,0.2344,"omnet, inet, make, project, build, link, error, library, fail, command",Zigbee simulation in OMNeT++ using INET 3.0 (without MiXiM)
637,5.0,0.2083,"omnet, inet, make, project, build, link, error, library, fail, command",Where can I read what ns3 module needs to be built?
638,5.0,0.3066,"omnet, inet, make, project, build, link, error, library, fail, command",How to make a base station that simply emit a beacon in OMNeT++ INET 3
639,3.0,0.4297,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed","Veins: OMNET++ simulation ends if there is no driving vehicle in SUMO, but vehicles are planned for future"
640,4.0,0.2542,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Angle based orientation ns2 not working
641,4.0,0.2396,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",How to get RSSI (recevied signal power) in omnetpp (4.6) with inet 3.0?
642,2.0,0.2396,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Error building/linking ns3 network simulator with OpenFlow
643,4.0,0.2614,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Omnet simulation stuck at #Run 0 : Initializing
644,0.0,0.4947,"packet, message, send, node, receive, application, multiple, datum, specific, server",Omnet ++ sending message from specific node to other specific node
645,6.0,0.2875,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",installing specific packages on ns2
646,3.0,0.2344,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Omnet veins-lte error
647,0.0,0.3119,"packet, message, send, node, receive, application, multiple, datum, specific, server",send messages from all nodes at the same time
648,5.0,0.2875,"omnet, inet, make, project, build, link, error, library, fail, command",Is the memory for one programme of OMNeT++ can use just 2GB?
649,2.0,0.2614,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",How can I simulate the two simple scenarios in Veins?
650,4.0,0.2083,"simulation, run, time, calculate, work, delay, distance, end, throughput, result","Issue in Leach Protocol Installation : invalid command name ""Resource/Energy"""
651,6.0,0.3523,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Error in Radio Drop for TCP over a noisy channel in NS2
652,0.0,0.3507,"packet, message, send, node, receive, application, multiple, datum, specific, server",send the reputation values of nodes to the neighbour nodes
653,3.0,0.2344,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Where exactly should I place the code for statistics in veins-lte example
654,1.0,0.1705,"file, set, parameter, number, module, trace, generate, script, random, position",How to use delay in source file omnet++
655,6.0,0.2875,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",How to fix architecture x86_64 errors?
656,7.0,0.2875,"implement, find, add, function, route, code, class, type, program, call",Overriding function does not execute EV<< command?
657,3.0,0.2875,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Run a second antenna on my car with Veins
658,2.0,0.2297,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",MiXiM Simulator: Collecting total radio transmitting/idle times?
659,3.0,0.3507,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Simulation of a simple scenario without accidents in Veins
660,1.0,0.2083,"file, set, parameter, number, module, trace, generate, script, random, position",how to set a node to sleep in ns2
661,7.0,0.3194,"implement, find, add, function, route, code, class, type, program, call",libxml/xmlwriter.h not found after updating to Xcode 7.0.1 and El Capitan
662,4.0,0.4434,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",how to measure throughput and end to end delay in veins-lte
663,2.0,0.3044,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Network simulation tool supporting Bluetooth
664,3.0,0.3875,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Change the map of Veins
665,6.0,0.2609,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",How to fix: check_and_cast(): cannot cast NULL pointer to type IPv4ControlInfo *
666,7.0,0.2344,"implement, find, add, function, route, code, class, type, program, call",Python Error while building code using waf
667,5.0,0.3194,"omnet, inet, make, project, build, link, error, library, fail, command",How to use user input in omnet++
668,2.0,0.1875,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",NS-3: Create a Bottleneck Link
669,2.0,0.2212,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",How can I write Traffic Light logic based on Induction Loop data in Omnet++?
670,1.0,0.2764,"file, set, parameter, number, module, trace, generate, script, random, position",How to invoke finish() individually on modules in omnet++
671,4.0,0.2986,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Omnet++: Parallelize Single Run Simulation
672,6.0,0.2066,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Error in VACaMobil for INET
673,5.0,0.2208,"omnet, inet, make, project, build, link, error, library, fail, command",TraCI server reported error
674,2.0,0.2344,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",How do I create a loop in omnet++?
675,0.0,0.2731,"packet, message, send, node, receive, application, multiple, datum, specific, server",Veins: I added extra accident message but can not see the data exchange between nodes
676,4.0,0.2396,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",recording a vector of the received power for each vehicle
677,4.0,0.2344,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",TKenv in omnet++ cannot run
678,1.0,0.4752,"file, set, parameter, number, module, trace, generate, script, random, position",drop packet is showing in .cc file but is not included in trace file NS-2
679,5.0,0.3414,"omnet, inet, make, project, build, link, error, library, fail, command",Error compiling ns-3 waf (Could not load the Waf tool clang_compilation_database)
680,4.0,0.3523,"simulation, run, time, calculate, work, delay, distance, end, throughput, result","How to calculate the throughput in the ""throughput"" example of INET?"
681,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",bluetooth implementation error in tcl
682,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",How do I call a parameter for a compound module?
683,3.0,0.423,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Integration of OMNeT++ and SUMO through VEINS
684,3.0,0.3694,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed","Custom Messages with Veins(oment++, sumo, veins traffic simulation)"
685,1.0,0.2344,"file, set, parameter, number, module, trace, generate, script, random, position",How to use Attributes in ns3
686,2.0,0.3321,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Create a Wireless Link between two nodes in ns3
687,4.0,0.2344,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Import of Mixim to Omnet++ simulation
688,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",Difference between AOMDV and AODV tcl script
689,7.0,0.2344,"implement, find, add, function, route, code, class, type, program, call",gcc and w32api not found
690,0.0,0.2412,"packet, message, send, node, receive, application, multiple, datum, specific, server",child killed: segmentation violation
691,0.0,0.2083,"packet, message, send, node, receive, application, multiple, datum, specific, server",how to draw a diagram in xgraph for my dropped file
692,3.0,0.3066,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Not planned in rou.xml vehicles occur in SUMO while using veins
693,5.0,0.233,"omnet, inet, make, project, build, link, error, library, fail, command",error while Linking c++ and ns2?
694,2.0,0.2513,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",how can I add new variable to mobile-node.h
695,3.0,0.2083,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Visualize routes in veins examples
696,2.0,0.2583,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Network Animator not working while running a network simulation sample file
697,2.0,0.2396,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",How can I calculate number of hops to reach destination ( NS2 )?
698,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",the cc file of adhoc transport protocol
699,4.0,0.2412,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Getting statistical data from OMnet++ simulations
700,2.0,0.2614,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Running a tcl file in Network simulator
701,1.0,0.2614,"file, set, parameter, number, module, trace, generate, script, random, position",How to read trace files in OMNET++
702,2.0,0.1875,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",How to obtain serviceTime in Sink?
703,2.0,0.3482,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",how to create user interface to enter input dynamically in omnett++
704,5.0,0.2875,"omnet, inet, make, project, build, link, error, library, fail, command",make command not working in NS 2.35
705,4.0,0.2614,"simulation, run, time, calculate, work, delay, distance, end, throughput, result","wrong # args: should be ""namespace subcommand ?arg ...?"" while running nam"
706,2.0,0.2614,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor","""undefined reference to `hdr_aodv::offset_"" error in Network simulator"
707,2.0,0.1875,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",System error: missing of libgcc_s_dw2.dll
708,1.0,0.2614,"file, set, parameter, number, module, trace, generate, script, random, position",dsr/linkcache .cc: fatal error: list.h: no such file or directory
709,3.0,0.2614,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Exchanging messages when adding the second RSU
710,0.0,0.2344,"packet, message, send, node, receive, application, multiple, datum, specific, server",how to register and use a hook in c++?
711,0.0,0.2875,"packet, message, send, node, receive, application, multiple, datum, specific, server",sending a personalized packet in ns-3
712,6.0,0.2986,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",class cSimulation has no member named lastModuleIndex
713,4.0,0.3523,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Calculating throughput using awk script
714,1.0,0.3422,"file, set, parameter, number, module, trace, generate, script, random, position",Accessing network.ned parameters in .cc file Omnet++
715,1.0,0.2875,"file, set, parameter, number, module, trace, generate, script, random, position",MiXiM building no such file or directory error
716,4.0,0.2396,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",How to implement multiple channels in wifi module of ns3
717,2.0,0.1562,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",I have created the extended shortwavemessage in veins how to access it in tracidemo?
718,3.0,0.1986,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",NS-3: How to change node position during simulation?
719,3.0,0.2513,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",About changing the playground size of the Veins
720,6.0,0.3917,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Why getting a syntax error near unexpected token on running a shell script in Ubuntu?
721,1.0,0.2344,"file, set, parameter, number, module, trace, generate, script, random, position",tcl code for binomial distribution
722,2.0,0.2083,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Simple example in omnetpp-4.6
723,3.0,0.3482,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Error when trying to use vehicle tracking in Veins via TraCI Interface to SUMO
724,0.0,0.3194,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to achieve the v2v communication?
725,0.0,0.2875,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to know if the data transmission is finished in NS2?
726,6.0,0.2207,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",OMNET++ 4.6 recurrent error appeared: libgcc_s_dw2-1.dll?
727,6.0,0.2083,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",ns2 ubunt Segmentation fault (core dumped)
728,0.0,0.2614,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to simulate a star network in NS2 and drop packets given certain conditions?
729,1.0,0.2614,"file, set, parameter, number, module, trace, generate, script, random, position",Random number generration in Omnet++
730,2.0,0.2513,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",OMNeT++ doesnt recognize nodes created by VACaMobil
731,7.0,0.2614,"implement, find, add, function, route, code, class, type, program, call",How to transform cMessage to cPacket in OMNeT++?
732,0.0,0.3137,"packet, message, send, node, receive, application, multiple, datum, specific, server",802.11p FSM received an unknown event when in TRANSMITFRAME state
733,3.0,0.3229,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",how to calculate distance between car and next junction in veins
734,3.0,0.3028,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed","speed and position of vehicular status are not consistent reasonably in Veins,omnet++ and sumo"
735,4.0,0.3244,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",How to record the time in which cars left simulation environment in veins
736,0.0,0.1986,"packet, message, send, node, receive, application, multiple, datum, specific, server",About VEINS ver 4 (stable)
737,6.0,0.3044,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Getting an error 139 when trying to access a map (on HandleSelfMsg) but it works when using in another function (onData)
738,1.0,0.2083,"file, set, parameter, number, module, trace, generate, script, random, position",explanation needed for tcl file
739,6.0,0.2344,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",How to fix Errors in TCL ns2
740,1.0,0.3229,"file, set, parameter, number, module, trace, generate, script, random, position","message generation error, ambigious overload of operator <<"
741,4.0,0.2895,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Transport layer end-to-end rate control in ns-3
742,3.0,0.2859,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",How to find the packet lost in veins omnet++
743,1.0,0.2981,"file, set, parameter, number, module, trace, generate, script, random, position",omnet++ seed set numbers and run number
744,1.0,0.2875,"file, set, parameter, number, module, trace, generate, script, random, position",how to use a trace file as input for ns2?
745,2.0,0.1806,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Performance Testing of OMNET++ applications
746,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",Math functions in OMNet++
747,4.0,0.2875,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",Omnet++ Energy (InetSimpleBattery) Plot Charts
748,0.0,0.253,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to measure number of packets sent by a node as a function of time ns2
749,6.0,0.2653,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Problems with TCP in VACaMobil
750,6.0,0.2981,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",make remains frozen during 4.6 installation on my Windows laptop
751,3.0,0.196,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",How can i define an array antenna(three non co-linear antennas) in ns2?
752,3.0,0.2674,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",How message reception order is modeled under Omnet++?
753,6.0,0.2674,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu","Overall operation, characteristics and usage scenarios of OMNeT++"
754,0.0,0.125,"packet, message, send, node, receive, application, multiple, datum, specific, server",How to Activate Battery Module in omnet++
755,1.0,0.2083,"file, set, parameter, number, module, trace, generate, script, random, position","Show ""sub-submodules"" in OmNet++ Tkentv"
756,2.0,0.2875,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",Combining an ad hoc network to a wired one
757,6.0,0.3194,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",How to solve the permission for NS3 hg
758,6.0,0.196,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",Error in a ns-3 simulation?
759,3.0,0.488,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",Questions regarding changing vehicle speed in SUMO through OMNet++ TraCI
760,3.0,0.2109,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",OpenCV header file error in omnet++
761,6.0,0.3542,"error, omnet, omnetpp, variable, installation, window, unable, read, problem, ubuntu",separate an aggregated object in ns3
762,0.0,0.2083,"packet, message, send, node, receive, application, multiple, datum, specific, server",Omnet++ UDP and beacon sending (inet/examples/wireless/lan80211)
763,4.0,0.2212,"simulation, run, time, calculate, work, delay, distance, end, throughput, result",How to calculate vehicle distance using OMNet++ Vectors data?
764,3.0,0.2396,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",How to make RSU as mobile node (car)?
765,3.0,0.4896,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",How to get vehicle ID and type as unique Identifier from SUMO vehicle ID
766,2.0,0.2674,"node, network, create, wireless, simulator, simulate, omnet, model, connect, sensor",how to analyze different parameters between the two nodes in veins example of omnet++
767,3.0,0.3875,"vein, omnet, vehicle, sumo, change, rsu, car, scenario, simulation, speed",How to get route id / flow id of a vehicle in veins?
768,5.0,0.233,"omnet, inet, make, project, build, link, error, library, fail, command",Errors in Castalia while importing in Omnet++
